"tiempo","CETAM","MT","orden","diferencia","promedio","ajustado","residuo"
2025-06-19 12:45:00,0.12,0.9,1,0.78,0.51,0.536203988417096,0.363796011582904
2025-06-19 12:50:00,0.74,3.44,2,2.7,2.09,3.46960129495245,-0.0296012949524492
2025-06-19 12:55:00,0.62,2.66,3,2.04,1.64,2.90184697755851,-0.24184697755851
2025-06-19 13:00:00,0.18,0.7,4,0.52,0.44,0.820081147114069,-0.120081147114069
2025-06-19 13:05:00,0.76,3.14,5,2.38,1.95,3.56422701451811,-0.424227014518105
2025-06-19 13:10:00,0.42,1.8,6,1.38,1.11,1.95558978190195,-0.155589781901946
2025-06-19 13:15:00,1,2.84,7,1.84,1.92,4.69973564930598,-1.85973564930598
2025-06-19 13:20:00,0.72,2.64,8,1.92,1.68,3.37497557538679,-0.734975575386793
2025-06-19 13:25:00,0.42,1.76,9,1.34,1.09,1.95558978190195,-0.195589781901946
2025-06-19 13:30:00,0.36,1.54,10,1.18,0.95,1.67171262320498,-0.131712623204977
2025-06-19 13:35:00,0.3,1.12,11,0.82,0.71,1.38783546450801,-0.267835464508008
2025-06-19 13:40:00,0.38,1.6,12,1.22,0.99,1.76633834277063,-0.166338342770634
2025-06-19 13:45:00,0.1,0.64,13,0.54,0.37,0.441578268851444,0.198421731148556
2025-06-19 13:50:00,0.3,1.4,14,1.1,0.85,1.38783546450801,0.012164535491992
2025-06-19 13:55:00,0.54,2.14,15,1.6,1.34,2.52334409929589,-0.383344099295885
2025-06-19 14:00:00,0.34,1.52,16,1.18,0.93,1.57708690363932,-0.0570869036393209
2025-06-19 14:05:00,0.24,0.96,17,0.72,0.6,1.10395830581104,-0.143958305811039
2025-06-19 14:10:00,0.4,1.74,18,1.34,1.07,1.86096406233629,-0.12096406233629
2025-06-19 14:15:00,0.44,1.96,19,1.52,1.2,2.0502155014676,-0.0902155014676028
2025-06-19 14:20:00,0.2,1.06666666666667,20,0.86666666666667,0.633333333333335,0.914706866679726,0.151959799986944
2025-06-19 14:30:00,0.08,0.44,21,0.36,0.26,0.346952549285787,0.0930474507142126
2025-06-19 14:35:00,0.26,0.92,22,0.66,0.59,1.1985840253767,-0.278584025376695
2025-06-19 14:40:00,0.24,1.08,23,0.84,0.66,1.10395830581104,-0.0239583058110386
2025-06-19 14:45:00,0.16,0.86,24,0.7,0.51,0.725455427548413,0.134544572451587
2025-06-19 14:50:00,0.24,1.24,25,1,0.74,1.10395830581104,0.136041694188961
2025-06-19 14:55:00,0.12,0.7,26,0.58,0.41,0.5362039884171,0.1637960115829
2025-06-19 15:00:00,0.48,2.66,27,2.18,1.57,2.23946694059892,0.420533059401085
2025-06-19 15:05:00,0.16,1.22,28,1.06,0.69,0.725455427548413,0.494544572451587
2025-06-19 15:10:00,0.14,0.74,29,0.6,0.44,0.630829707982757,0.109170292017243
2025-06-19 15:15:00,0.8,2.86,30,2.06,1.83,3.75347845364942,-0.893478453649418
2025-06-19 15:20:00,1.76,9.64,31,7.88,5.7,8.29551299280093,1.34448700719907
2025-06-19 15:25:00,1,5.56,32,4.56,3.28,4.69973564930598,0.860264350694018
2025-06-19 15:30:00,0.3,1.54,33,1.24,0.92,1.38783546450801,0.152164535491992
2025-06-19 15:35:00,0.66,3.12,34,2.46,1.89,3.09109841668982,0.0289015833101766
2025-06-19 15:40:00,0.58,3.42,35,2.84,2,2.7125955384272,0.707404461572802
2025-06-19 15:45:00,0.2,1,36,0.8,0.6,0.914706866679726,0.0852931333202741
2025-06-19 15:50:00,0.04,0.38,37,0.34,0.21,0.157701110154475,0.222298889845525
2025-06-19 15:55:00,0.18,0.74,38,0.56,0.46,0.820081147114069,-0.0800811471140694
2025-06-19 16:00:00,0.38,1.98,39,1.6,1.18,1.76633834277063,0.213661657229366
2025-06-19 16:05:00,0.28,1.54,40,1.26,0.91,1.29320974494235,0.246790255057648
2025-06-19 16:10:00,0.18,1.08,41,0.9,0.63,0.820081147114069,0.259918852885931
