"fraccion","referencia","comparado","n_pares","Pearson","CCC_Lin","sesgo_MT_menos_CETAM","SD_diferencias","LoA_inferior_95","LoA_superior_95","regresion_intercepto","regresion_pendiente","R2","RMSE","MAE","c_tolerancia","fuente_c","PA_empirica","PA_normal"
"PM1.0","CETAM","MT",41,0.887631937041589,0.361084158456054,0.328130081300813,0.311389403213411,-0.282193148997473,0.938453311599099,0.0398127447334456,2.59312814006227,0.787890455656204,0.449741871163345,0.328130081300813,0.149328578611878,"exploratoria_SD_CETAM",0.24390243902439,0.220315493477914
"PM2.5","CETAM","MT",41,0.953808541248329,0.203082178478511,1.49918699186992,1.31478024790115,-1.07778229401633,4.07615627775617,-0.0315503289768377,4.73128597828282,0.909750733358265,1.98344312055227,1.49918699186992,0.327234532139245,"exploratoria_SD_CETAM",0,0.103971805832299
"PM10","CETAM","MT",41,0.97016413506326,0.342923978823052,3.69252032520325,3.57657384008835,-3.31756440136992,10.7026050517764,0.36905331147055,3.34718903702987,0.941218448963044,5.11024360494654,3.69252032520325,1.43534577951623,"exploratoria_SD_CETAM",0.24390243902439,0.188164010350804
