c,PA_empirica,PA_normal
0,2.3137436372049977e-4,0
12.377871485943789,0.04627487274409996,0.005353080134018473
24.755742971887578,0.09239549591238624,0.010705919318458434
37.13361445783137,0.13558537714021288,0.016058276636277347
49.511485943775156,0.17615301557920715,0.02140991123549707
61.88935742971894,0.21533240783587845,0.02676058236171841
74.26722891566274,0.24895881536325776,0.03211004939061207
86.64510040160653,0.28258522289063703,0.037458071860382414
99.02297188755031,0.31320376368964986,0.042804409504193286
111.4008433734941,0.34243405830633966,0.04814882228255002
123.77871485943788,0.36564861946629645,0.053491070415631226
136.15658634538167,0.3907141755360173,0.0588309144155611
148.53445783132548,0.4135431127564399,0.06416811511861703
160.91232931726927,0.4381459200987197,0.06950243371736364
173.29020080321305,0.4578127410149622,0.07483363179270713
185.66807228915684,0.47747956193120467,0.08016147134586254
198.04594377510062,0.49583526145303103,0.08548571483022643
210.4238152610444,0.5139595866111368,0.09080612518314818
222.8016867469882,0.528227672373901,0.09612246585759254
235.17955823293198,0.5438068795310813,0.10143450085368727
247.55742971887577,0.5588462131729137,0.106741994750147
259.93530120481955,0.5726515502082369,0.11204471273556882
272.31317269076334,0.5834490205151935,0.11734242063959038
284.6910441767071,0.5954033626407528,0.12263488496390484
297.06891566265097,0.6065093320993368,0.12792187291312612
309.44678714859475,0.6169211784667592,0.13320315242549613
321.82465863453854,0.6286441462285979,0.13847849220342923
334.2025301204823,0.6395187413234613,0.14374766174388542
346.5804016064261,0.6490050902360018,0.14901043136856673
358.9582730923699,0.6573345673299399,0.15426657225392976
371.3361445783137,0.6673607897578282,0.15951585646100835
383.71401606425746,0.6755360172759525,0.16475805696503898
396.09188755020125,0.6839426191577973,0.16999294768488338
408.46975903614504,0.6918093475242943,0.1752203035122416
420.8476305220888,0.6993675767391639,0.180439900340649
433.2255020080326,0.7065401820144994,0.18565151509425193
445.6033734939764,0.7138670368656487,0.19085492575635493
457.9812449799202,0.7202683942619158,0.19604991139773303
470.35911646586396,0.7263612525065556,0.20123625220470526
482.73698795180775,0.7323769859632886,0.20641372950696102
495.11485943775153,0.7379299706925806,0.2115821258051343
507.4927309236954,0.743714329785593,0.21674122479812125
519.8706024096391,0.7494215640906987,0.2218908114101329
532.248473895583,0.7551287983958044,0.22703067181748
544.6263453815267,0.7596020360944007,0.23216059347508233
557.0042168674705,0.7641523985809039,0.2372803651426988
569.3820883534142,0.7701681320376369,0.24238977691087116
581.7599598393581,0.7759524911306493,0.24748862022657792
594.1378313253019,0.7807342279808731,0.2525766879185919
606.5157028112457,0.7859787135585378,0.25765377422253677
618.8935742971895,0.7900663273175998,0.2627196748056382
631.2714457831332,0.7943853154403825,0.26777418679116305
643.6493172690771,0.7983958044115379,0.27281710878254417
656.0271887550208,0.8021749190189726,0.2778482408871832
668.4050602409646,0.8059540336264075,0.28286738473993034
680.7829317269084,0.8104272713250038,0.28787434352623226
693.1608032128522,0.8148233842356933,0.2928689220049481
705.538674698796,0.8175998766003394,0.29785092653082534
717.9165461847398,0.8216103655714947,0.30282016507663523
730.2944176706835,0.824232608360327,0.30777644725495834
