date,x,y,orden,diferencia,promedio,ajustado,residuo
2026-06-16T20:05:00Z,168.2,0,1,168.2,84.1,294.1141900093403,-294.1141900093403
2026-06-16T20:10:00Z,-38.2,0,2,-38.2,-19.1,292.97703923898024,-292.97703923898024
2026-06-16T20:15:00Z,46.6,1533.9,3,-1487.3000000000002,790.25,293.4442407182785,1240.4557592817216
2026-06-16T20:20:00Z,64,1026.4,4,-962.4000000000001,545.2,293.54010517275765,732.8598948272424
2026-06-16T20:25:00Z,30,448.2,5,-418.2,239.1,293.35278382492464,154.84721617507535
2026-06-16T20:30:00Z,243,827,6,-584,535,294.5262969745836,532.4737030254164
2026-06-16T20:35:00Z,72,1061,7,-989,566.5,293.58418078401246,767.4158192159875
2026-06-16T20:40:00Z,133.8,3416,8,-3282.2,1774.9,293.92466488095533,3122.0753351190447
2026-06-16T20:45:00Z,-12,1361.2,9,-1373.2,674.6,293.12138686583694,1068.078613134163
2026-06-16T20:50:00Z,213.4,3336,10,-3122.6,1774.7,294.36321721294007,3041.63678278706
2026-06-16T20:55:00Z,97.8,1035.2,11,-937.4000000000001,566.5,293.72632463030914,741.4736753696909
2026-06-16T21:00:00Z,129.8,149.6,12,-19.799999999999983,139.7,293.9026270753282,-144.30262707532822
2026-06-16T21:05:00Z,43.2,164,13,-120.8,103.6,293.42550858349506,-129.42550858349506
2026-06-16T21:10:00Z,165.4,0,14,165.4,82.7,294.098763545412,-294.098763545412
2026-06-16T21:15:00Z,37.8,166.8,15,-129,102.30000000000001,293.39575754589805,-126.59575754589805
2026-06-16T21:20:00Z,137.6,88.57894736842107,16,49.021052631578925,113.08947368421053,293.9456007963016,-205.36665342788055
2026-06-16T21:25:00Z,1,0,17,1,0.5,293.193009734126,-293.193009734126
2026-06-16T21:30:00Z,100,399,18,-299,249.5,293.7384454234041,105.26155457659591
2026-06-16T21:35:00Z,22.6,1006.4,19,-983.8,514.5,293.31201388451393,713.087986115486
2026-06-16T21:40:00Z,43.6,803.8,20,-760.1999999999999,423.7,293.42771236405787,510.3722876359421
2026-06-16T21:45:00Z,34.2,585.8,21,-551.5999999999999,310,293.3759235208334,292.42407647916656
2026-06-16T21:50:00Z,35.2,779.6,22,-744.4,407.40000000000003,293.38143297224025,486.2185670277598
2026-06-16T21:55:00Z,52.8,567.4,23,-514.6,310.09999999999997,293.4783993170008,273.92160068299916
2026-06-16T22:00:00Z,41.8,920.8,24,-879,481.29999999999995,293.41779535152557,627.3822046484744
2026-06-16T22:05:00Z,82.4,1988,25,-1905.6,1035.2,293.64147907864367,1694.3585209213563
2026-06-16T22:10:00Z,111.4,2201.8,26,-2090.4,1156.6000000000001,293.80125316944213,1907.998746830558
2026-06-16T22:15:00Z,154.4,935.2,27,-780.8000000000001,544.8000000000001,294.03815957993675,641.1618404200633
2026-06-16T22:20:00Z,-43.2,2131.8,28,-2175,1044.3000000000002,292.94949198194354,1838.8505080180566
2026-06-16T22:25:00Z,38.8,775.6,29,-736.8000000000001,407.2,293.4012669973049,482.1987330026951
2026-06-16T22:30:00Z,106.4,316.2,30,-209.79999999999998,211.3,293.77370591240793,22.426294087592066
2026-06-16T22:35:00Z,-42.4,929,31,-971.4,443.3,292.9538995430688,636.0461004569312
2026-06-16T22:40:00Z,230.4,817,32,-586.6,523.7,294.45687788685734,522.5431221131427
2026-06-16T22:45:00Z,-30.8,487.4,33,-518.1999999999999,228.29999999999998,293.0178091793882,194.38219082061175
2026-06-16T22:50:00Z,56.2,504.6,34,-448.40000000000003,280.40000000000003,293.49713145178407,211.10286854821595
