instrumento,n_total,n_validos,n_missing,n_negativos,minimo,q01,q25,mediana,media,q75,q99,maximo,sd,IQR
AE33,16359,13497,2862,0,0,10.657210401891298,53.1971830985916,125,328.43990105152324,339,2667.8719999999876,15201.8,586.3160482779147,285.8028169014084
AE36,16359,13090,3269,604,-627.4,-119.422,40.4,123.32051282051249,281.4523069352234,285.7958333333333,2318.5100000000007,11609.4,514.0788430622505,245.3958333333333
MAAP,16359,13592,2767,406,-270,-30,10,60,183.09446733372573,200,1570,22530,409.2857911721526,190
Referencia oficial AE33->AE36,16359,13551,2808,0,0,10.5333333333333,52.98148148148148,124.360655737705,327.4254735678914,335.96446886446904,2667.0166666666655,15201.8,585.4045032174552,282.9829873829876
