date,x,y,orden,diferencia,promedio,ajustado,residuo
2026-06-16T20:05:00Z,0,160,1,-160,80,156.55318721700448,3.446812782995518
2026-06-16T20:10:00Z,0,270,2,-270,135,156.55318721776442,113.44681278223558
2026-06-16T20:15:00Z,1533.9,40,3,1493.9,786.95,288.2775330954124,-248.27753309541245
2026-06-16T20:20:00Z,1026.4,70,4,956.4000000000001,548.2,244.69574449587068,-174.69574449587068
2026-06-16T20:25:00Z,448.2,100,5,348.2,274.1,195.0425618983238,-95.04256189832381
2026-06-16T20:30:00Z,827,90,6,737,458.5,227.57218065991282,-137.57218065991282
2026-06-16T20:35:00Z,1061,20,7,1041,540.5,247.66703491073602,-227.66703491073602
2026-06-16T20:40:00Z,3416,40,8,3376,1728,449.90370910171293,-409.90370910171293
2026-06-16T20:45:00Z,1361.2,40,9,1321.2,700.6,273.44684365474075,-233.44684365474077
2026-06-16T20:50:00Z,3336,20,10,3316,1678,443.03367346040585,-423.03367346040585
2026-06-16T20:55:00Z,1035.2,0,11,1035.2,517.6,245.45144841641448,-245.45144841641448
2026-06-16T21:00:00Z,149.6,80,12,69.6,114.8,169.40015386714515,-89.40015386714516
2026-06-16T21:05:00Z,164,10,13,154,87,170.63676028258047,-160.63676028258047
2026-06-16T21:10:00Z,0,70,14,-70,35,156.55318721790096,-86.55318721790096
2026-06-16T21:15:00Z,166.8,110,15,56.80000000000001,138.4,170.8772115300262,-60.877211530026194
2026-06-16T21:20:00Z,84.71073031415749,-20,16,104.71073031415749,32.355365157078744,163.82775892364361,-183.82775892364361
2026-06-16T21:25:00Z,3.86821705426357,0,17,3.86821705426357,1.934108527131785,156.88537208078975,-156.88537208078975
2026-06-16T21:30:00Z,400.5472868217051,0,18,400.5472868217051,200.27364341085254,190.95036392407548,-190.95036392407548
2026-06-16T21:35:00Z,1006.4,20,19,986.4,513.2,242.97823558554396,-222.97823558554396
2026-06-16T21:40:00Z,803.8,140,20,663.8,471.9,225.57987032393373,-85.57987032393375
2026-06-16T21:45:00Z,585.8,70,21,515.8,327.9,206.859023201372,-136.859023201372
2026-06-16T21:50:00Z,779.6,80,22,699.6,429.8,223.50168454243837,-143.50168454243837
2026-06-16T21:55:00Z,567.4,-10,23,577.4,278.7,205.27891500387136,-215.27891500387136
2026-06-16T22:00:00Z,920.8,120.00000000000001,24,800.8,520.4,235.62729744934535,-115.62729744934532
2026-06-16T22:05:00Z,1988,80,25,1908,1034,327.2735729043817,-247.2735729043817
2026-06-16T22:10:00Z,2201.8,80,26,2121.8,1140.9,345.6337431557749,-265.6337431557749
2026-06-16T22:15:00Z,935.2,70,27,865.2,502.6,236.8639038647806,-166.8639038647806
2026-06-16T22:20:00Z,2131.8,130,28,2001.8000000000002,1130.9,339.6224619696312,-209.6224619696312
2026-06-16T22:25:00Z,775.6,10,29,765.6,392.8,223.15818276037302,-213.15818276037302
2026-06-16T22:30:00Z,316.2,110,30,206.2,213.1,183.70700309016715,-73.70700309016715
2026-06-16T22:35:00Z,929,-10,31,939,459.5,236.33147610257933,-246.33147610257933
2026-06-16T22:40:00Z,817,40,32,777,428.5,226.71342620474942,-186.71342620474942
2026-06-16T22:45:00Z,487.4,10,33,477.4,248.7,198.4088793625643,-188.4088793625643
2026-06-16T22:50:00Z,504.6,0,34,504.6,252.3,199.88593702544532,-199.88593702544532
2026-06-16T22:55:00Z,156.8,10,35,146.8,83.4,170.01845707486282,-160.01845707486282
2026-06-16T23:00:00Z,532.2,20,36,512.2,276.1,202.25609932169627,-182.25609932169627
2026-06-16T23:05:00Z,197.2,10,37,187.2,103.6,173.48782507372292,-163.48782507372292
2026-06-16T23:10:00Z,121.2,20,38,101.2,70.6,166.96129121448118,-146.96129121448118
2026-06-16T23:15:00Z,119.8,60,39,59.8,89.9,166.84106559075826,-106.84106559075828
2026-06-16T23:20:00Z,207.6,90,40,117.6,148.8,174.3809297070928,-84.3809297070928
2026-06-16T23:25:00Z,204.8,110,41,94.80000000000001,157.4,174.14047845964706,-64.14047845964706
2026-06-16T23:30:00Z,302.6,0,42,302.6,151.3,182.53909703114496,-182.53909703114496
2026-06-16T23:35:00Z,1214.6,20,43,1194.6,617.3,260.85750334204556,-240.85750334204556
2026-06-16T23:40:00Z,318.321698934816,30,44,288.321698934816,174.160849467408,183.88920493144605,-153.88920493144605
2026-06-16T23:45:00Z,0.22342064714946103,30,45,-29.77657935285054,15.11171032357473,156.57237356551246,-126.57237356551246
2026-06-16T23:50:00Z,0.22342064714946103,180,46,-179.77657935285055,90.11171032357473,156.57237356551246,23.42762643448754
2026-06-16T23:55:00Z,0.0238315356959425,10,47,-9.976168464304058,5.011915767847971,156.55523376164618,-146.55523376164618
2026-06-17T00:00:00Z,0,-10,48,10,-5,156.55318721790096,-166.55318721790096
2026-06-17T00:05:00Z,0,0,49,0,0,156.55318721790096,-156.55318721790096
2026-06-17T00:10:00Z,-74.4,0,50,-74.4,-37.2,150.16405407148537,-150.16405407148537
2026-06-17T00:15:00Z,292.8,0,51,292.8,146.4,181.69751766508483,-181.69751766508483
2026-06-17T00:20:00Z,17.6,70,52,-52.4,43.8,158.06459505898852,-88.0645950589885
2026-06-17T00:25:00Z,-9,10,53,-19,0.5,155.7803082082539,-145.7803082082539
2026-06-17T00:30:00Z,64.2,0,54,64.2,32.1,162.06639082004986,-162.06639082004986
2026-06-17T00:35:00Z,231.2,0,55,231.2,115.6,176.40759022127838,-176.40759022127838
2026-06-17T00:40:00Z,10.6,20,56,-9.4,15.3,157.46346694037413,-137.46346694037413
2026-06-17T00:45:00Z,-86.6,30,57,-116.6,-28.299999999999997,149.11637363618604,-119.11637363618604
2026-06-17T00:50:00Z,185.8,0,58,185.8,92.9,172.50884499483664,-172.50884499483664
2026-06-17T00:55:00Z,110.4,30,59,80.4,70.2,166.03383640290474,-136.03383640290474
2026-06-17T01:00:00Z,73.4,160,60,-86.6,116.7,162.85644491880018,-2.8564449188001912
2026-06-17T01:05:00Z,222,10,61,212,116,175.61753612252807,-165.61753612252807
2026-06-17T01:10:00Z,-117.6,0,62,-117.6,-58.8,146.45423482517955,-146.45423482517955
2026-06-17T01:15:00Z,-44.6,20,63,-64.6,-12.3,152.72314234787228,-132.72314234787228
2026-06-17T01:20:00Z,54.6,190,64,-135.4,122.3,161.24198654309302,28.75801345690697
2026-06-17T01:25:00Z,-16.2,60,65,-76.2,21.9,155.16200500053628,-95.16200500053627
2026-06-17T01:30:00Z,316.4,-10,66,326.4,153.2,183.72417817927044,-193.72417817927044
2026-06-17T01:35:00Z,117.6,10,67,107.6,63.8,166.65213961062236,-156.65213961062236
2026-06-17T01:40:00Z,152.8,0,68,152.8,76.4,169.67495529279745,-169.67495529279745
2026-06-17T01:45:00Z,-79,10,69,-89,-34.5,149.76902702211024,-139.76902702211024
2026-06-17T01:50:00Z,254.8,10,70,244.8,132.4,178.434250735464,-168.434250735464
2026-06-17T01:55:00Z,160.6,10,71,150.6,85.3,170.3447837678249,-160.3447837678249
2026-06-17T02:00:00Z,161,30,72,131,95.5,170.37913394603143,-140.37913394603143
2026-06-17T02:05:00Z,32.4,10,73,22.4,21.2,159.33555165263033,-149.33555165263033
2026-06-17T02:10:00Z,224.6,0,74,224.6,112.3,175.84081228087055,-175.84081228087055
2026-06-17T02:15:00Z,-20.2,20,75,-40.2,-0.09999999999999964,154.81850321847094,-134.81850321847094
2026-06-17T02:20:00Z,161.4,40,76,121.4,100.7,170.41348412423798,-130.41348412423798
2026-06-17T02:25:00Z,-84,20,77,-104,-32,149.33964979452853,-129.33964979452853
2026-06-17T02:30:00Z,108.2,20,78,88.2,64.1,165.84491042276878,-145.84491042276878
2026-06-17T02:35:00Z,-24.2,10,79,-34.2,-7.1,154.4750014364056,-144.4750014364056
2026-06-17T02:40:00Z,96.8,0,80,96.8,48.4,164.86593034388252,-164.86593034388252
2026-06-17T02:45:00Z,-2.6,30,81,-32.6,13.7,156.32991105955847,-126.32991105955846
2026-06-17T02:50:00Z,79.6,50,82,29.599999999999994,64.8,163.3888726810015,-113.38887268100147
2026-06-17T02:55:00Z,12.6,0,83,12.6,6.3,157.63521783140683,-157.63521783140683
2026-06-17T03:00:00Z,40.6,0,84,40.6,20.3,160.0397303058643,-160.0397303058643
2026-06-17T03:05:00Z,183,0,85,183,91.5,172.2683937473909,-172.2683937473909
2026-06-17T03:10:00Z,132.2,90,86,42.19999999999999,111.1,167.90592111516088,-77.90592111516088
2026-06-17T03:15:00Z,274.2,20,87,254.2,147.1,180.10023437848096,-160.10023437848096
2026-06-17T03:20:00Z,-207.8,50,88,-257.8,-78.9,138.70826963960582,-88.70826963960582
2026-06-17T03:25:00Z,193.4,30,89,163.4,111.7,173.1614983807608,-143.1614983807608
2026-06-17T03:30:00Z,82.6,120.00000000000001,90,-37.40000000000002,101.30000000000001,163.6464990175505,-43.64649901755049
2026-06-17T03:35:00Z,-1.2,0,91,-1.2,-0.6,156.45013668328136,-156.45013668328136
2026-06-17T03:40:00Z,289.2,100,92,189.2,194.6,181.388366061226,-81.38836606122602
2026-06-17T03:45:00Z,-125.6,20,93,-145.6,-52.8,145.76723126104883,-125.76723126104885
2026-06-17T03:50:00Z,87.4,30,94,57.400000000000006,58.7,164.05870115602895,-134.05870115602895
2026-06-17T03:55:00Z,51,20,95,31,35.5,160.93283493923423,-140.93283493923423
2026-06-17T04:05:00Z,-62,60,96,-122,-1,151.22890959588796,-91.22890959588796
2026-06-17T04:10:00Z,50.2,130,97,-79.8,90.1,160.86413458282112,-30.864134582821137
2026-06-17T04:15:00Z,158.2,-10,98,168.2,74.1,170.13868269858568,-180.13868269858568
2026-06-17T04:20:00Z,-5.2,40,99,-45.2,17.4,156.106634901216,-116.106634901216
2026-06-17T04:25:00Z,-5.4,0,100,-5.4,-2.7,156.08945981211275,-156.08945981211275
2026-06-17T04:30:00Z,32.4,0,101,32.4,16.2,159.33555165263033,-159.33555165263033
2026-06-17T04:35:00Z,-27.2,0,102,-27.2,-13.6,154.21737509985655,-154.21737509985655
2026-06-17T04:40:00Z,54.6,140,103,-85.4,97.3,161.24198654309302,-21.24198654309303
2026-06-17T04:45:00Z,91,0,104,91,45.5,164.36785275988777,-164.36785275988777
2026-06-17T04:50:00Z,364.4,40,105,324.4,202.2,187.84619956405467,-147.84619956405467
2026-06-17T04:55:00Z,-65.8,0,106,-65.8,-32.9,150.9025829029259,-150.9025829029259
