date,x,y,orden,diferencia,promedio,ajustado,residuo
2026-06-16T20:05:00Z,75.28125000000001,0,1,75.28125000000001,37.64062500000001,277.9467234951483,-277.9467234951483
2026-06-16T20:10:00Z,75.28125000000001,0,2,75.28125000000001,37.64062500000001,277.9467234952679,-277.9467234952679
2026-06-16T20:15:00Z,75.28125000000001,1533.9,3,-1458.61875,804.590625,277.9467234952592,1255.9532765047409
2026-06-16T20:20:00Z,75.28125000000001,1026.4,4,-951.1187500000001,550.840625,277.9467234952592,748.4532765047409
2026-06-16T20:25:00Z,75.28125000000001,448.2,5,-372.91875,261.740625,277.9467234952592,170.2532765047408
2026-06-16T20:30:00Z,81.233,827,6,-745.767,454.1165,278.0669286228966,548.9330713771034
2026-06-16T20:35:00Z,105.04,1061,7,-955.96,583.02,278.5477491334466,782.4522508665534
2026-06-16T20:40:00Z,105.04,3416,8,-3310.96,1760.52,278.54774913344636,3137.4522508665536
2026-06-16T20:45:00Z,105.04,1361.2,9,-1256.16,733.12,278.5477491334466,1082.6522508665535
2026-06-16T20:50:00Z,105.04,3336,10,-3230.96,1720.52,278.54774913344636,3057.4522508665536
2026-06-16T20:55:00Z,105.42330434782599,1035.2,11,-929.7766956521741,570.311652173913,278.555490578913,756.644509421087
2026-06-16T21:00:00Z,106.95652173913001,149.6,12,-42.64347826086998,128.278260869565,278.58645636077836,-128.9864563607784
2026-06-16T21:05:00Z,106.95652173913001,164,13,-57.04347826086999,135.47826086956502,278.58645636077836,-114.58645636077837
2026-06-16T21:10:00Z,106.95652173913001,0,14,106.95652173913001,53.478260869565005,278.5864563607784,-278.5864563607784
2026-06-16T21:15:00Z,106.95652173913001,166.8,15,-59.84347826087,136.878260869565,278.58645636077836,-111.78645636077836
2026-06-16T21:20:00Z,73.45760869565201,84.71073031415749,16,-11.253121618505475,79.08416950490475,277.90989213712857,-193.19916182297106
2026-06-16T21:25:00Z,51.12500000000001,3.86821705426357,17,47.25678294573644,27.496608527131787,277.458849321362,-273.5906322670984
2026-06-16T21:30:00Z,51.12500000000001,400.5472868217051,18,-349.4222868217051,225.83614341085254,277.458849321362,123.08843750034312
2026-06-16T21:35:00Z,51.12500000000001,1006.4,19,-955.275,528.7625,277.458849321362,728.941150678638
2026-06-16T21:40:00Z,51.12500000000001,803.8,20,-752.675,427.4625,277.458849321362,526.341150678638
2026-06-16T21:45:00Z,51.12500000000001,585.8,21,-534.675,318.4625,277.458849321362,308.341150678638
2026-06-16T21:50:00Z,51.12500000000001,779.6,22,-728.475,415.3625,277.458849321362,502.14115067863804
2026-06-16T21:55:00Z,51.12500000000001,567.4,23,-516.275,309.2625,277.458849321362,289.941150678638
2026-06-16T22:00:00Z,51.12500000000001,920.8,24,-869.675,485.9625,277.458849321362,643.341150678638
2026-06-16T22:05:00Z,51.12500000000001,1988,25,-1936.875,1019.5625,277.4588493213621,1710.541150678638
