c,PA_empirica,PA_normal
0,0,0
10.153813371131552,0.0796956939212645,0.012763964335123723
20.307626742263103,0.1794076371962479,0.025524667500192333
30.461440113394655,0.2637565551370116,0.03827885081902038
40.61525348452621,0.3373956717630549,0.05102326059999146
50.769066855657755,0.39574562375360073,0.06375465062042196
60.92288022678931,0.445453873993648,0.07646978460143672
71.07669359792087,0.48851466134869637,0.08916543867021848
81.23050696905241,0.5247802644213014,0.10183840380651793
91.38432034018396,0.5526257478395745,0.11448548827033761
101.53813371131551,0.5761134500332373,0.12710352000773528
111.69194708244707,0.596055838688234,0.13968934903173508
121.84576045357862,0.6115665854198981,0.15223984977537264
131.99957382471018,0.6292192924145062,0.16475192341395523
142.15338719584173,0.6464288352167812,0.17722250015366853
152.30720056697328,0.6605362286727232,0.1896485414837223
162.46101393810483,0.6727232439618879,0.2020270423892907
172.61482730923638,0.6867567767191077,0.21435503352257146
182.76864068036792,0.7000517024891055,0.2266295833293625
192.92245405149947,0.7109830858999926,0.23884780012862877
203.07626742263102,0.7224314942019352,0.2510068341426192
213.2300807937626,0.7323288278307113,0.2631038794751722
223.38389416489414,0.7400842011965433,0.2751361760359448
233.5377075360257,0.7482088780559865,0.2871010114083876
243.69152090715724,0.7557426693256518,0.29899572265938884
253.8453342782888,0.7634980426914839,0.31081769808860504
263.99914764942037,0.7714011374547604,0.3225643789156062
274.1529610205519,0.7785656252308146,0.3342332609030586
284.30677439168346,0.7841051776349804,0.3458218959142869
294.460587762815,0.790309476327646,0.357327893403659
304.61440113394656,0.7968830785139227,0.3687489218383515
314.7682145050781,0.8021271881231996,0.380082710050173
324.92202787620965,0.8061895265529212,0.3913270485162278
335.0758412473412,0.810695029174976,0.4024797905673302
345.22965461847275,0.815643695989364,0.41353885352318764
355.3834679896043,0.8199276165152523,0.42450221975349955
365.53728136073585,0.8242853977398626,0.4353679376642286
375.6910947318674,0.828273875470862,0.44613412260842833
385.84490810299894,0.8329270994903611,0.45679895772112566
395.9987214741305,0.8364724130290273,0.4673606946778806
406.15253484526204,0.8400177265676934,0.477817654376761
416.30634821639364,0.8431198759140262,0.488168227543591
426.4601615875252,0.8463697466578034,0.498410875260449
436.61397495865674,0.8503582243888027,0.5085441294175101
446.7677883297883,0.8530172095428022,0.5185665930884351
456.92160170091984,0.8550853091070242,0.5284769408296353
467.0754150720514,0.8593692296329123,0.53827391890384
477.22922844318293,0.8623236575818007,0.5479563454285169
487.3830418143145,0.8654258069281335,0.5575231104497914
497.53685518544603,0.8684540955757442,0.566973175942628
507.6906685565776,0.8712608021271881,0.5763055757381285
517.8444819277091,0.8739936479799099,0.5855194153789145
527.9982952988407,0.8773912401211316,0.5946138719036476
538.1521086699722,0.879311618287909,0.6035881935618405
548.3059220411038,0.881749021345742,0.6124416994602082
558.4597354122353,0.8844818671984637,0.6211737791418841
568.6135487833669,0.8869931309550189,0.6297838920999226
578.7673621544984,0.8895782554102962,0.638271567226583
588.92117552563,0.8918679370706847,0.6466364021999707
599.0749888967615,0.894083758032351,0.6548780628096807
609.2288022678931,0.8952655292119064,0.6629962822231625
619.3826156390246,0.8964473003914617,0.670990860194588
629.5364290101562,0.8981460964620726,0.6788616622180641
639.6902423812877,0.900435778122461,0.6866086186270937
649.8440557524193,0.9018391313981831,0.6942317236422351
659.9978691235509,0.9033163453726272,0.7017310343689638
670.1516824946824,0.9051628628406825,0.7091066697477837
680.305495865814,0.9070093803087377,0.7163588094586709
690.4593092369455,0.9083388728857374,0.7234876927819759
700.6131226080771,0.9092990619691262,0.7304936174179372
710.7669359792086,0.9102592510525149,0.7373769382669828
720.9207493503402,0.9111455794371814,0.7441380661730319
731.0745627214717,0.9129182362065145,0.7507774666320085
741.2283760926033,0.9140261466873476,0.7572956584678119
751.3821894637348,0.9151340571681809,0.7636932124779857
761.5360028348664,0.9169805746362361,0.7699707500513406
771.6898162059979,0.9177930423221804,0.7761289417597836
781.8436295771295,0.9187532314055691,0.7821685059266079
791.997442948261,0.9200088632838467,0.7880902071734865
802.1512563193926,0.9209690523672354,0.7938948549484124
812.3050696905241,0.9221508235467908,0.7995833020367992
822.4588830616557,0.9232587340276239,0.8051564430579581
832.6126964327873,0.9246620873033459,0.8106152129491253
842.7665098039188,0.925769997784179,0.8159605854392102
852.9203231750504,0.9272472117586232,0.8211935715143899
863.0741365461819,0.9282812615407342,0.8263152178776553
873.2279499173135,0.9293153113228451,0.8313266054043776
883.381763288445,0.9304232218036783,0.8362288475959239
893.5355766595766,0.9316788536819558,0.8410230890333149
903.6893900307081,0.9322697392717335,0.8457105038328763
913.8432034018397,0.9330822069576779,0.8502922941057826
923.9970167729712,0.9341162567397887,0.8547696884233571
934.1508301441028,0.934928724425733,0.8591439402899308
944.3046435152343,0.9355196100155108,0.8634163266250187
954.4584568863659,0.9364059384001773,0.8675881462565158
964.6122702574974,0.9367013811950661,0.8716607184265595
974.766083628629,0.9379570130733437,0.8756353813116489
984.9198969997606,0.9385478986631214,0.8795134905585528
995.0737103708921,0.94017283403501,0.8832964178374791
