tipo_analisis,comparacion,instrumento_referencia,instrumento_comparado,n_pares,Pearson,CCC_Lin,Cb_factor_correccion_sesgo,sesgo_medio_X_menos_Y,sd_diferencias,limite_concordancia_inferior_95,limite_concordancia_superior_95,regresion_intercepto,regresion_pendiente,R2_regresion,RMSE_X_vs_Y,MAE_X_vs_Y,comovimiento_primeras_diferencias,c_tolerancia,fuente_c,PA_empirica,PA_normal
referencia_oficial,Referencia oficial AE33->AE36 vs MAAP,Referencia oficial AE33->AE36,MAAP,13539,0.2693809130156286,0.2430656023279342,0.9023118958462819,144.4966904055739,617.5568701740391,-1065.9147751355426,1354.9081559466904,121.48140666769577,0.18834155753651627,0.07256607629713378,634.2141694281568,257.1958214957259,0.0020544860756919873,585.5927641813392,exploratoria_sd_instrumento_referencia,0.8907600265898515,0.6439079720715618
fase_ae33,AE33 (fase de referencia) vs MAAP,AE33 (fase de referencia),MAAP,13485,0.26938979639468535,0.2430142579857595,0.9020915462949354,145.35642888950525,618.5612987312616,-1067.0237166237675,1357.736574402778,121.4276676749639,0.1883993118041931,0.07257086240157005,635.3882262848159,257.7442859121725,0.00206449603093551,586.5051064880641,exploratoria_sd_instrumento_referencia,0.8908416759362254,0.643762961269421
fase_ae36,AE36 (fase de referencia) vs MAAP,AE36 (fase de referencia),MAAP,54,-0.0536435608639442,-0.04450757717663303,0.829690953766423,-70.19911433172302,159.81354405775346,-383.4336606849198,243.03543202147375,148.27147256292528,-0.056817607799587215,0.0028776316221636824,173.19155500045176,120.23206861087206,-0.009184222578721885,106.88794080287603,exploratoria_sd_instrumento_referencia,0.5925925925925926,0.4568756203987193
solapamiento,AE33 (solapamiento) vs AE36 (solapamiento),AE33 (solapamiento),AE36 (solapamiento),12964,0.02304880949229111,0.022775337009281367,0.9881350712234743,44.59641315719235,774.3319893482983,-1473.0942859654724,1562.287112279857,276.4262980296477,0.020196602282938098,5.312476190119292e-4,775.5853398605492,393.98852121067733,-0.010119573068085865,589.1519625184344,exploratoria_sd_instrumento_referencia,0.7999845726627584,0.5525011816623022
