instrumento_referencia,n,sesgo,sd_diferencias,LoA_inferior_95,LoA_superior_95
AE33,13485,145.35642888950525,618.5612987312616,-1067.0237166237675,1357.736574402778
AE36,54,-70.19911433172302,159.81354405775346,-383.4336606849198,243.03543202147375
