date,x,y,orden,diferencia,promedio,ajustado,residuo
2026-06-15T04:05:00Z,42.989898989899,20,1,22.989898989898997,31.4949494949495,129.57819120032565,-109.57819120032566
2026-06-15T04:10:00Z,42.989898989899,10,2,32.989898989899,26.4949494949495,129.57819120171305,-119.57819120171305
2026-06-15T04:15:00Z,42.989898989899,10,3,32.989898989899,26.4949494949495,129.57819120177805,-119.57819120177807
2026-06-15T04:20:00Z,42.989898989899,90,4,-47.010101010101,66.4949494949495,129.57819120177808,-39.578191201778075
2026-06-15T04:25:00Z,42.989898989899,30,5,12.989898989898997,36.494949494949495,129.57819120177805,-99.57819120177807
2026-06-15T04:30:00Z,42.989898989899,10,6,32.989898989899,26.4949494949495,129.57819120177805,-119.57819120177807
2026-06-15T04:35:00Z,42.989898989899,10,7,32.989898989899,26.4949494949495,129.57819120177805,-119.57819120177807
2026-06-15T04:40:00Z,42.989898989899,60,8,-17.010101010101003,51.494949494949495,129.57819120177805,-69.57819120177807
2026-06-15T04:45:00Z,42.989898989899,0,9,42.989898989899,21.4949494949495,129.57819120177808,-129.57819120177808
2026-06-15T04:50:00Z,42.989898989899,10,10,32.989898989899,26.4949494949495,129.57819120177805,-119.57819120177807
2026-06-15T04:55:00Z,42.989898989899,20,11,22.989898989898997,31.4949494949495,129.57819120177805,-109.57819120177807
2026-06-15T05:00:00Z,42.989898989899,0,12,42.989898989899,21.4949494949495,129.57819120177808,-129.57819120177808
2026-06-15T05:05:00Z,42.989898989899,20,13,22.989898989898997,31.4949494949495,129.57819120177805,-109.57819120177807
2026-06-15T05:10:00Z,42.989898989899,80,14,-37.010101010101,61.494949494949495,129.57819120177808,-49.578191201778075
2026-06-15T05:15:00Z,42.989898989899,40,15,2.9898989898989967,41.494949494949495,129.57819120177805,-89.57819120177807
2026-06-15T05:20:00Z,42.989898989899,0,16,42.989898989899,21.4949494949495,129.57819120177808,-129.57819120177808
2026-06-15T05:25:00Z,42.700322372662804,0,17,42.700322372662804,21.350161186331402,129.52365189066163,-129.52365189066163
2026-06-15T05:30:00Z,42.26595744680851,20,18,22.265957446808507,31.132978723404253,129.441842923987,-109.44184292398701
2026-06-15T05:35:00Z,42.26595744680851,70,19,-27.734042553191493,56.13297872340425,129.441842923987,-59.44184292398701
2026-06-15T05:40:00Z,42.26595744680851,20,20,22.265957446808507,31.132978723404253,129.441842923987,-109.44184292398701
2026-06-15T05:45:00Z,42.26595744680851,0,21,42.26595744680851,21.132978723404253,129.441842923987,-129.441842923987
2026-06-15T05:50:00Z,42.26595744680851,10,22,32.26595744680851,26.132978723404253,129.441842923987,-119.44184292398701
2026-06-15T05:55:00Z,42.26595744680851,10,23,32.26595744680851,26.132978723404253,129.441842923987,-119.44184292398701
2026-06-15T06:00:00Z,42.26595744680851,20,24,22.265957446808507,31.132978723404253,129.441842923987,-109.44184292398701
2026-06-15T06:05:00Z,42.26595744680851,60,25,-17.734042553191493,51.13297872340425,129.441842923987,-69.44184292398701
2026-06-15T06:10:00Z,42.26595744680851,30,26,12.265957446808507,36.13297872340425,129.441842923987,-99.44184292398701
2026-06-15T06:15:00Z,42.26595744680851,30,27,12.265957446808507,36.13297872340425,129.441842923987,-99.44184292398701
2026-06-15T06:20:00Z,42.26595744680851,0,28,42.26595744680851,21.132978723404253,129.441842923987,-129.441842923987
2026-06-15T06:25:00Z,42.26595744680851,-10,29,52.26595744680851,16.132978723404253,129.441842923987,-139.441842923987
2026-06-15T06:30:00Z,42.26595744680851,0,30,42.26595744680851,21.132978723404253,129.441842923987,-129.441842923987
2026-06-15T06:35:00Z,42.26595744680851,0,31,42.26595744680851,21.132978723404253,129.441842923987,-129.441842923987
2026-06-15T06:40:00Z,42.26595744680851,0,32,42.26595744680851,21.132978723404253,129.441842923987,-129.441842923987
2026-06-15T06:45:00Z,42.26595744680851,70,33,-27.734042553191493,56.13297872340425,129.441842923987,-59.44184292398701
2026-06-15T06:50:00Z,42.26595744680851,100,34,-57.73404255319149,71.13297872340425,129.441842923987,-29.44184292398701
2026-06-15T06:55:00Z,42.26595744680851,0,35,42.26595744680851,21.132978723404253,129.441842923987,-129.441842923987
2026-06-15T07:00:00Z,111.70638297872298,10,36,101.70638297872298,60.85319148936149,142.5203608246663,-132.5203608246663
2026-06-15T07:05:00Z,158,40,37,118,99,151.23937275845265,-111.23937275845265
2026-06-15T07:10:00Z,158,20,38,138,89,151.23937275845265,-131.23937275845265
2026-06-15T07:15:00Z,158,20,39,138,89,151.23937275845265,-131.23937275845265
2026-06-15T07:20:00Z,221.26666666666696,10,40,211.26666666666696,115.63333333333348,163.15511529859637,-153.15511529859637
2026-06-15T07:25:00Z,474.33333333333303,60,41,414.33333333333303,267.1666666666665,210.81808545917087,-150.81808545917087
2026-06-15T07:30:00Z,532.8,80,42,452.79999999999995,306.4,221.82978852313929,-141.82978852313929
2026-06-15T07:35:00Z,574.2363636363641,10,43,564.2363636363641,292.11818181818205,229.63397778906162,-219.63397778906162
2026-06-15T07:40:00Z,389.181818181818,0,44,389.181818181818,194.590909090909,194.7805164689402,-194.7805164689402
2026-06-15T07:45:00Z,389.181818181818,0,45,389.181818181818,194.590909090909,194.7805164689402,-194.7805164689402
2026-06-15T07:50:00Z,645.333333333333,10,46,635.333333333333,327.6666666666665,243.02449179791532,-233.02449179791532
2026-06-15T07:55:00Z,462.746666666667,50,47,412.746666666667,256.3733333333335,208.63583461251454,-158.63583461251454
2026-06-15T08:00:00Z,417.1,10,48,407.1,213.55,200.03867031616429,-190.03867031616429
2026-06-15T08:05:00Z,441.362857142857,10,49,431.362857142857,225.6814285714285,204.60837462073596,-194.60837462073596
2026-06-15T08:10:00Z,798.4571428571429,30,50,768.4571428571429,414.22857142857146,271.86406857955467,-241.86406857955467
2026-06-15T08:15:00Z,702.6,20,51,682.6,361.3,253.81018499283996,-233.81018499283996
2026-06-15T08:20:00Z,547,60,52,487,303.5,224.50423864015784,-164.50423864015784
2026-06-15T08:25:00Z,615.833333333333,100,53,515.833333333333,357.9166666666665,237.46841585058806,-137.46841585058806
2026-06-15T08:30:00Z,1155.4666666666703,310,54,845.4666666666703,732.7333333333352,339.1037983492114,-29.103798349211395
2026-06-15T08:35:00Z,1921.2,240.00000000000003,55,1681.2,1080.6000000000001,483.32320700683977,-243.32320700683974
2026-06-15T08:40:00Z,975.06,250,56,725.06,612.53,305.1257257592394,-55.12572575923942
2026-06-15T08:45:00Z,946.9399999999999,430.00000000000006,57,516.9399999999998,688.47,299.82956116131254,130.17043883868755
2026-06-15T08:50:00Z,1008.9,280,58,728.9,644.45,311.4992040662752,-31.49920406627516
2026-06-15T08:55:00Z,1295.08,150.00000000000003,59,1145.08,722.54,365.39879100207565,-215.39879100207563
2026-06-15T09:00:00Z,1032.62,470.00000000000006,60,562.6199999999999,751.31,315.9666658110413,154.03333418895875
2026-06-15T09:05:00Z,1139.3,200,61,939.3,669.65,336.058943169037,-136.05894316903698
2026-06-15T09:10:00Z,1347.6,270,62,1077.6,808.8,375.2904896038935,-105.2904896038935
2026-06-15T09:15:00Z,1206,220,63,986,713,348.62132505672275,-128.62132505672272
2026-06-15T09:20:00Z,1371.45,669.9999999999999,64,701.4500000000002,1020.7249999999999,379.7824357511395,290.2175642488604
2026-06-15T09:25:00Z,1163.95,610,65,553.95,886.975,340.70156256231223,269.29843743768777
2026-06-15T09:30:00Z,1086.9,180,66,906.9000000000001,633.45,326.1898455541235,-146.18984555412354
2026-06-15T09:35:00Z,1029,350,67,679,689.5,315.28486937275915,34.71513062724084
2026-06-15T09:40:00Z,916.7,1030,68,-113.29999999999995,973.35,294.1341124614082,735.8658875385918
2026-06-15T09:45:00Z,714.2,1200,69,-485.79999999999995,957.1,255.99494706026348,944.0050529397365
2026-06-15T09:50:00Z,477,600,70,-123,538.5,211.3203296126017,388.6796703873983
2026-06-15T09:55:00Z,336.138461538462,640,71,-303.861538461538,488.069230769231,184.79024806176562,455.2097519382344
2026-06-15T10:00:00Z,300.9230769230769,659.9999999999999,72,-359.076923076923,480.4615384615384,178.1577276740565,481.8422723259434
2026-06-15T10:05:00Z,274.0538461538461,1000,73,-725.946153846154,637.026923076923,173.09713490117144,826.9028650988286
2026-06-15T10:10:00Z,166.576923076923,690,74,-523.423076923077,428.2884615384615,152.8547638096312,537.1452361903688
2026-06-15T10:15:00Z,166.576923076923,700,75,-533.423076923077,433.2884615384615,152.8547638096312,547.1452361903688
2026-06-15T10:20:00Z,166.576923076923,890,76,-723.423076923077,528.2884615384615,152.8547638096312,737.1452361903688
2026-06-15T10:25:00Z,166.576923076923,830.0000000000001,77,-663.4230769230771,498.28846153846155,152.8547638096312,677.1452361903689
2026-06-15T10:30:00Z,166.576923076923,890,78,-723.423076923077,528.2884615384615,152.8547638096312,737.1452361903688
2026-06-15T10:35:00Z,615.875,740,79,-124.125,677.9375,237.47626341548556,502.52373658451444
2026-06-15T10:40:00Z,461.74038461538504,760,80,-298.25961538461496,610.8701923076925,208.44630988365498,551.553690116345
2026-06-15T10:45:00Z,230.538461538462,710,81,-479.461538461538,470.269230769231,164.90137958590935,545.0986204140906
2026-06-15T10:50:00Z,230.538461538462,770,82,-539.461538461538,500.269230769231,164.90137958590935,605.0986204140906
2026-06-15T10:55:00Z,1328.5076923076901,590,83,738.5076923076901,959.2538461538451,371.6946146361575,218.3053853638425
2026-06-15T11:00:00Z,795.9499999999999,360,84,435.94999999999993,577.9749999999999,271.39186938887383,88.6081306111262
2026-06-15T11:05:00Z,279.875,180,85,99.875,229.9375,174.1935000832157,5.806499916784303
2026-06-15T11:10:00Z,279.875,200,86,79.875,239.9375,174.1935000832157,25.806499916784304
2026-06-15T11:15:00Z,267.605263157895,310,87,-42.394736842104976,288.8026315789475,171.88259873581046,138.11740126418954
2026-06-15T11:20:00Z,218.526315789474,180,88,38.52631578947401,199.263157894737,162.6389933461893,17.36100665381071
2026-06-15T11:25:00Z,218.526315789474,170,89,48.52631578947401,194.263157894737,162.6389933461893,7.3610066538107075
2026-06-15T11:30:00Z,218.526315789474,50,90,168.526315789474,134.263157894737,162.6389933461893,-112.63899334618928
2026-06-15T11:35:00Z,169.341430499325,60,91,109.34143049932501,114.6707152496625,153.3754354433877,-93.37543544338769
2026-06-15T11:40:00Z,95.56410256410261,100,92,-4.435897435897388,97.7820512820513,139.4800985891855,-39.4800985891855
2026-06-15T11:45:00Z,95.56410256410261,440,93,-344.4358974358974,267.7820512820513,139.48009858918556,300.51990141081444
2026-06-15T11:50:00Z,95.56410256410261,160,94,-64.43589743589739,127.7820512820513,139.4800985891855,20.5199014108145
2026-06-15T11:55:00Z,95.56410256410261,50,95,45.56410256410261,72.7820512820513,139.4800985891855,-89.48009858918549
2026-06-15T12:00:00Z,95.56410256410261,250,96,-154.4358974358974,172.7820512820513,139.4800985891855,110.51990141081451
2026-06-15T12:05:00Z,95.56410256410261,1090,97,-994.4358974358973,592.7820512820513,139.48009858918556,950.5199014108144
2026-06-15T12:10:00Z,95.56410256410261,540,98,-444.4358974358974,317.7820512820513,139.48009858918556,400.51990141081444
2026-06-15T12:15:00Z,143.2948717948719,200,99,-56.70512820512809,171.64743589743597,148.46978600852466,51.530213991475335
2026-06-15T12:20:00Z,175.11538461538498,100,100,75.11538461538498,137.5576923076925,154.4629109547508,-54.46291095475082
2026-06-15T12:25:00Z,175.11538461538498,210.00000000000003,101,-34.884615384615046,192.5576923076925,154.4629109547508,55.53708904524921
