comparacion,instrumento_referencia,instrumento_comparado,n_pares,Pearson,CCC_Lin,Cb_factor_correccion_sesgo,sesgo_medio_X_menos_Y,sd_diferencias,limite_concordancia_inferior_95,limite_concordancia_superior_95,regresion_intercepto,regresion_pendiente,R2_regresion,RMSE_X_vs_Y,MAE_X_vs_Y,comovimiento_primeras_diferencias,c_tolerancia,fuente_c,PA_empirica,PA_normal
AE33 vs AE36,AE33,AE36,12964,0.02304880949229111,0.022775337009281367,0.9881350712234743,44.59641315719235,774.3319893482983,-1473.0942859654724,1562.287112279857,276.4262980296477,0.020196602282938098,5.312476190119292e-4,775.5853398605492,393.98852121067733,-0.010119573068085865,589.1519625184344,exploratoria_sd_instrumento_referencia,0.7999845726627584,0.5525011816623022
AE33 vs MAAP,AE33,MAAP,13485,0.26938979639468535,0.2430142579857595,0.9020915462949354,145.35642888950525,618.5612987312616,-1067.0237166237675,1357.736574402778,121.4276676749639,0.1883993118041931,0.07257086240157005,635.3882262848159,257.7442859121725,0.00206449603093551,586.5051064880641,exploratoria_sd_instrumento_referencia,0.8908416759362254,0.643762961269421
AE36 vs MAAP,AE36,MAAP,13043,0.10777450168804165,0.10262971301727637,0.9522633963490075,101.1696008847967,622.8771234327759,-1119.669561043444,1322.0087628130373,156.55318721790945,0.08587544551633608,0.011615343214105744,631.0162067083221,306.20889966637907,0.028121253805590093,514.9415666426914,exploratoria_sd_instrumento_referencia,0.8298704285823814,0.5854501954811441
