fase_referencia,instrumento_referencia,fecha_inicio,fecha_fin,n_filas,n_referencia_valida,n_maap_valida,n_pares_referencia_maap
Fase AE33,AE33,2026-06-15T04:05:00Z,2026-08-10T16:05:00Z,16217,13497,13516,13485
Fase AE36,AE36,2026-08-10T16:10:00Z,2026-08-11T03:55:00Z,142,54,76,54
