date,AE33,AE36,MAAP,orden
2026-06-15T04:05:00Z,42.989898989899,NA,20,1
2026-06-15T04:10:00Z,42.989898989899,NA,10,2
2026-06-15T04:15:00Z,42.989898989899,NA,10,3
2026-06-15T04:20:00Z,42.989898989899,NA,90,4
2026-06-15T04:25:00Z,42.989898989899,NA,30,5
2026-06-15T04:30:00Z,42.989898989899,NA,10,6
2026-06-15T04:35:00Z,42.989898989899,NA,10,7
2026-06-15T04:40:00Z,42.989898989899,NA,60,8
2026-06-15T04:45:00Z,42.989898989899,NA,0,9
2026-06-15T04:50:00Z,42.989898989899,NA,10,10
2026-06-15T04:55:00Z,42.989898989899,NA,20,11
2026-06-15T05:00:00Z,42.989898989899,NA,0,12
2026-06-15T05:05:00Z,42.989898989899,NA,20,13
2026-06-15T05:10:00Z,42.989898989899,NA,80,14
2026-06-15T05:15:00Z,42.989898989899,NA,40,15
2026-06-15T05:20:00Z,42.989898989899,NA,0,16
2026-06-15T05:25:00Z,42.700322372662804,NA,0,17
2026-06-15T05:30:00Z,42.26595744680851,NA,20,18
2026-06-15T05:35:00Z,42.26595744680851,NA,70,19
2026-06-15T05:40:00Z,42.26595744680851,NA,20,20
2026-06-15T05:45:00Z,42.26595744680851,NA,0,21
2026-06-15T05:50:00Z,42.26595744680851,NA,10,22
2026-06-15T05:55:00Z,42.26595744680851,NA,10,23
2026-06-15T06:00:00Z,42.26595744680851,NA,20,24
2026-06-15T06:05:00Z,42.26595744680851,NA,60,25
2026-06-15T06:10:00Z,42.26595744680851,NA,30,26
2026-06-15T06:15:00Z,42.26595744680851,NA,30,27
2026-06-15T06:20:00Z,42.26595744680851,NA,0,28
2026-06-15T06:25:00Z,42.26595744680851,NA,-10,29
2026-06-15T06:30:00Z,42.26595744680851,NA,0,30
2026-06-15T06:35:00Z,42.26595744680851,NA,0,31
2026-06-15T06:40:00Z,42.26595744680851,NA,0,32
2026-06-15T06:45:00Z,42.26595744680851,NA,70,33
2026-06-15T06:50:00Z,42.26595744680851,NA,100,34
2026-06-15T06:55:00Z,42.26595744680851,NA,0,35
2026-06-15T07:00:00Z,111.70638297872298,NA,10,36
2026-06-15T07:05:00Z,158,NA,40,37
2026-06-15T07:10:00Z,158,NA,20,38
2026-06-15T07:15:00Z,158,NA,20,39
2026-06-15T07:20:00Z,221.26666666666696,NA,10,40
2026-06-15T07:25:00Z,474.33333333333303,NA,60,41
2026-06-15T07:30:00Z,532.8,NA,80,42
2026-06-15T07:35:00Z,574.2363636363641,NA,10,43
2026-06-15T07:40:00Z,389.181818181818,NA,0,44
2026-06-15T07:45:00Z,389.181818181818,NA,0,45
2026-06-15T07:50:00Z,645.333333333333,NA,10,46
2026-06-15T07:55:00Z,462.746666666667,NA,50,47
2026-06-15T08:00:00Z,417.1,NA,10,48
2026-06-15T08:05:00Z,441.362857142857,NA,10,49
2026-06-15T08:10:00Z,798.4571428571429,NA,30,50
2026-06-15T08:15:00Z,702.6,NA,20,51
2026-06-15T08:20:00Z,547,NA,60,52
2026-06-15T08:25:00Z,615.833333333333,NA,100,53
2026-06-15T08:30:00Z,1155.4666666666703,NA,310,54
2026-06-15T08:35:00Z,1921.2,NA,240.00000000000003,55
2026-06-15T08:40:00Z,975.06,NA,250,56
2026-06-15T08:45:00Z,946.9399999999999,NA,430.00000000000006,57
2026-06-15T08:50:00Z,1008.9,NA,280,58
2026-06-15T08:55:00Z,1295.08,NA,150.00000000000003,59
2026-06-15T09:00:00Z,1032.62,NA,470.00000000000006,60
2026-06-15T09:05:00Z,1139.3,NA,200,61
2026-06-15T09:10:00Z,1347.6,NA,270,62
2026-06-15T09:15:00Z,1206,NA,220,63
2026-06-15T09:20:00Z,1371.45,NA,669.9999999999999,64
2026-06-15T09:25:00Z,1163.95,NA,610,65
2026-06-15T09:30:00Z,1086.9,NA,180,66
2026-06-15T09:35:00Z,1029,NA,350,67
